"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","交易活动费","期权监管费","期权清算费","期权交收费","合计费用"
"卖出","SNDK","闪迪","641.00","10","6,410.00","全部成交","10@641.00","2026/02/20 11:32:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","641.00","6,410.00","2026/02/20 11:37:58 (美东)","美股","USD","","","0.99","1","0.03","","","","","0.01","","","","2.03"
"买入","SNDK","闪迪","636.54","10","6,365.40","全部成交","10@636.37","2026/02/20 11:19:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","636.37","6,363.70","2026/02/20 11:19:49 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","2.02"
"买入","SNDK","闪迪","637.00","10","6,370.00","已撤单","0@0.00","2026/02/20 09:59:29 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"买入","SNDK","闪迪","641.00","10","6,410.00","全部成交","10@641.00","2026/02/20 09:47:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","641.00","6,410.00","2026/02/20 09:47:47 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","2.02"
"卖空","SNDK","闪迪","646.00","10","6,460.00","全部成交","10@646.00","2026/02/20 09:46:41 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","646.00","6,460.00","2026/02/20 09:46:43 (美东)","美股","USD","","","0.99","1","0.03","","","","","0.01","","","","2.03"
"买入","01810","小米集团-W","35.52","800","28,416.00","全部成交","800@35.52","2026/02/20 15:18:43 (香港)","限价单","当日有效","允许","","","","港股","HKD","","800","35.52","28,416.00","2026/02/20 15:26:37 (香港)","港股","HKD","4975","","8.52","15","1.19","29","1.61","0.77","0.04","","","","","56.13"
"卖出","00772","阅文集团","35.28","600","21,168.00","全部成交","600@35.28","2026/02/20 15:11:19 (香港)","限价单","当日有效","允许","","","","港股","HKD","","600","35.28","21,168.00","2026/02/20 15:11:19 (香港)","港股","HKD","9068","","6.35","15","0.89","22","1.2","0.57","0.03","","","","","46.04"
"买入","SNDK","闪迪","614.50","10","6,145.00","全部成交","10@614.50","2026/02/19 15:41:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","614.50","6,145.00","2026/02/19 15:43:18 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","2.02"
"卖空","SNDK","闪迪","617.50","10","6,175.00","全部成交","10@617.50","2026/02/19 15:17:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","617.50","6,175.00","2026/02/19 15:17:50 (美东)","美股","USD","","","0.99","1","0.03","","","","","0.01","","","","2.03"
"买入","SNDK","闪迪","607.50","10","6,075.00","全部成交","10@607.50","2026/02/18 11:00:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","607.50","6,075.00","2026/02/18 11:31:04 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","2.02"
"买入","SNDK","闪迪","601.00","10","6,010.00","下单失败","0@0.00","2026/02/18 10:59:10 (美东)","止损限价单","当日有效","","盘前+盘中+盘后","606.01","允许","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"卖空","SNDK","闪迪","606.00","10","6,060.00","全部成交","10@606.00","2026/02/18 10:58:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","606.00","6,060.00","2026/02/18 11:00:19 (美东)","美股","USD","","","0.99","1","0.03","","","","","0.01","","","","2.03"
"买入","SNDK","闪迪","596.00","10","5,960.00","已撤单","0@0.00","2026/02/18 10:29:22 (美东)","止损限价单","当日有效","","盘前+盘中+盘后","602.82","允许","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"卖空","SNDK","闪迪","602.80","10","6,028.00","已撤单","0@0.00","2026/02/18 10:28:46 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","",""
